url,zone,days,total invested,deposits number,TopListPrc,monitors number,design,text,licence,forums,reviews,listings,firstLap,plans
mindhome.io,io,365,38070,410,45.65,46,8,0,1,17,22,631,-1,6
futurenaw.com,com,365,2192,26,75,4,6,23,1,11,0,0,1,0.6
fordfutures.group,group,365,-1,-1,-1,-1,10,3,1,6,0,-1,1,20
hour888.com,com,364,231400,13666,77.78,18,0,0,1,10,0,0,1,35.76
cryptoinvestfund.io,io,364,210,2,100,1,0,0,0,0,0,0,-1,1.67
graspinvest.com,com,364,-1,-1,100,2,0,0,0,0,0,0,1,700
lomba-group.com,com,363,48603,69,16.67,6,0,0,0,13,5,89,0,0.48
worldcorp.club,club,363,500,1,100,1,0,0,0,0,0,0,0,0.38
gsmining.com,com,363,-1,-1,40,5,0,0,0,0,6,110,-1,40
coinamazing.com,com,363,-1,-1,100,3,0,0,0,0,0,0,1,700
crypto-source.org,org,362,14597,128,79.17,24,4,0,1,23,2,0,-1,0.86
airbitclub.io,io,361,181828,1089,37.93,29,0,0,1,9,4,206,1,9
empireassetinvest.com,com,361,-1,-1,-1,-1,12,0,1,0,0,-1,1,15
crtfunds.com,com,361,-1,-1,-1,-1,755,33,1,3,0,-1,0,0.29
minebe.com,com,359,2563,5,100,3,13,0,0,2,0,0,-1,0.6
betpanda.company,company,358,5122,3,100,3,2,0,1,1,0,0,-1,777
trade-insurance.co,co,358,-1,-1,-1,-1,0,14,1,0,0,-1,1,10
chain.group,group,357,371188,2172,87.5,24,0,0,0,14,0,0,-1,0.1
hourtrust.com,com,357,66329,2495,83.33,18,1,2,1,19,0,0,1,12
bitxup.com,com,356,-1,-1,-1,-1,0,0,0,2,0,-1,-1,-1
eratechplanet.com,com,355,1902,28,100,4,0,0,1,1,2,0,-1,0.56
crazydeposit.com,com,355,-1,-1,100,2,0,0,0,0,0,0,1,700
bizzilion.com,com,354,37975,140,65.71,35,2,0,1,17,22,0,1,0.8
weekly1end.com,com,354,-1,-1,-1,-1,750,379,1,0,0,-1,1,15
gbfinance.cc,cc,354,-1,-1,100,1,0,0,0,0,0,0,1,7
primeinvestment.net,net,353,1160,33,87.5,8,0,0,0,12,0,0,0,5
hourlyrich.com,com,352,24370,1446,100,6,0,0,0,5,0,0,1,5.71
dohaglobalinv.com,com,352,160,1,100,2,0,0,0,0,0,0,-1,0.4
bonusa.pro,pro,352,-1,-1,-1,-1,0,0,0,0,0,-1,-1,10
immensity.su,su,350,-1,-1,0,1,0,0,1,1,0,0,1,8
ltc-alliance.com,com,350,-1,-1,-1,-1,24,0,0,0,0,-1,1,1
payinvest.biz,biz,349,173601,9946,70,10,1,1,0,11,0,0,1,21.6
china-uni.com,com,349,2540,21,75,4,0,0,0,8,0,0,-1,0.5
gulexfund.com,com,349,50,1,70,10,2,0,0,1,0,0,1,1.5
motormoney.org,org,347,3807,12,100,1,14,0,0,1,0,0,1,0.83
itbusc.com,com,346,4798,86,66.67,9,0,0,0,17,9,0,1,0.8
inwau.com,com,345,-1,-1,100,1,0,0,0,11,0,0,-1,1
grand.finance,finance,344,-1,-1,0,1,0,0,0,3,0,0,-1,-1
coinroi.com,com,343,22089,1374,100,5,0,1,1,0,0,0,1,3
investhour.club,club,343,30,2,100,1,734,302,1,7,0,0,1,4.25
bitzara.com,com,343,-1,-1,-1,-1,0,0,0,1,0,-1,-1,-1
ledgeneration.global,global,342,6473,92,72.73,33,2,0,1,17,9,0,1,1.45
profitinity.com,com,341,262172,4238,6.9,29,3,0,1,20,8,1,1,2
tp-fxpro.com,com,341,75150,3346,60,10,0,0,0,5,0,0,1,8
cryptolia.net,net,341,4984,49,66.67,12,3,3,1,12,1,0,1,25
cryptoct.biz,biz,341,30,3,66.67,3,17,0,1,8,0,0,1,1
tcompanyonline.com,com,340,3412,69,77.78,9,1,0,0,15,7,0,1,0.8
perfect-group.biz,biz,340,70,1,50,4,753,13,1,4,0,0,1,2
lk.invest-progress.com,invest-progress,339,43,3,100,1,0,0,0,0,0,0,0,0.38
helierfunds.com,com,339,-1,-1,100,2,0,0,0,0,0,0,-1,1.35
trusthyip.biz,biz,337,-1,-1,100,1,0,0,0,0,0,0,1,400
tcomonline.com,com,336,300,1,100,1,1,0,0,0,2,0,1,777
wotoken.pro,pro,336,-1,-1,-1,-1,0,0,1,2,0,-1,-1,0.25
b-ny.com,com,336,-1,-1,100,1,0,0,0,0,0,0,-1,-1
goex.pro,pro,334,24065,39,61.54,13,0,0,0,3,6,0,-1,0.8
cryptosourceshare.com,com,334,-1,-1,25,8,27,2,1,17,0,20,1,0.5
cryptogram.ltd,ltd,333,5107,89,66.67,9,1,0,1,2,4,0,1,4
goodinvest.pro,pro,333,-1,-1,100,1,0,0,0,0,0,0,1,5
