url,zone,days,total invested,deposits number,TopListPrc,monitors number,design,text,licence,forums,reviews,listings,firstLap,plans
bitkoresh.org,org,359,28000,33,16.67,6,1,0,0,2,2,55,-1,0.1
pharaonh.com,com,348,3110,28,0,5,749,364,1,14,0,75,-1,3.71
comextrades.com,com,348,160265,1065,6.38,47,5,0,1,18,18,930,-1,1.07
itn.ltd,ltd,339,102,2,25,4,1,2,1,5,2,290,1,1.27
finiko.ru,ru,339,-1,-1,0,1,1,0,0,1,2,0,-1,1
luxioprofit.com,com,329,1938,17,11.76,17,736,522,1,21,0,175,0,2
zetbull.com,com,324,1221,16,7.14,14,751,395,1,21,0,135,-1,0.3
hstechnology.net,net,323,25388,253,5.88,17,0,0,1,29,1,299,1,2
bitcoin-farm.org,org,320,-1,-1,0,1,0,0,0,1,1,0,-1,2.2
dogeminers.biz,biz,319,68772,294,10.2,49,1,1,1,30,27,2,-1,6
arbistar.com,com,319,-1,-1,0,3,0,0,0,1,3,0,-1,1.33
bitcoin-bum.com,com,317,578,12,20,5,0,0,0,16,4,65,-1,0.6
uctraders.com,com,317,600,5,0,8,736,526,1,7,0,10,0,0.29
3deposit.com,com,314,6568,69,9.09,44,0,12,1,31,6,909,1,1.1
rich-hostel.ru,ru,308,-1,-1,0,1,0,0,0,0,0,10,-1,0.6
webtokenprofit.com,com,306,5780,26,11.11,9,1,0,0,19,8,550,0,0.8
crowdmining.biz,biz,299,60,2,0,6,736,492,1,1,0,41,0,0.3
asgard.bet,bet,291,-1,-1,0,2,0,0,1,9,2,0,-1,0.14
bt7.space,space,285,12,2,0,1,5,1,1,9,0,0,-1,0.1
attonbank.com,com,281,27703,269,25,20,0,0,0,30,9,1,-1,1
arbit.biz,biz,272,-1,-1,0,1,0,0,0,0,0,49,1,45
equations-wealth.ltd,ltd,268,6389,42,0,4,0,0,1,0,2,111,1,1
kovrita.io,io,263,-1,-1,12.5,8,0,0,0,0,4,110,1,1
bigmoney.city,city,263,15665,140,75,8,0,0,0,0,7,600,-1,0.56
