url,zone,days,total invested,deposits number,TopListPrc,monitors number,design,text,licence,forums,reviews,listings,firstLap,plans
everlasting-hyip.com,com,-1,65,14,100,1,147,107,1,13,0,30.00,-1,51.43
sunraytrade.com,com,3,613,48,50,2,1,0,1,17,0,329.00,1,5.0
a-profit.com,com,1,483,33,0,3,14,0,1,28,0,126.00,0,7.2
crypto2mining.com,com,-1,-1,-1,-1,-1,7,43,1,0,0,-1,-1,20.0
elcar.pro,pro,-1,-1,-1,0,3,2,4,1,16,1,70.00,-1,0.95
hour2years.com,com,7,294,18,0,1,19,62,1,6,0,99.00,1,15.0
cryptominingfarm.uk,uk,-1,-1,-1,0,1,5,60,1,9,0,0.00,-1,1.5
alphatrade.company,company,1,-1,-1,-1,-1,0,0,1,8,0,-1,-1,0.36
aquafish.space,space,1,-1,-1,0,1,1,0,1,0,0,30.00,0,5.0
earnomic.net,net,2,436,40,16.67,12,13,0,1,29,3,300.00,1,6.0
atomwiser.com,com,5,5718,173,20,15,0,0,1,30,3,783.00,1,4.0
westerngoldgame.com,com,-1,78,15,100,1,4,5,1,13,0,30.00,-1,70.0
scotland-finance.com,com,1,205,14,0,4,767,647,1,0,0,55.00,0,97.92
earnbitcoin.xyz,xyz,-1,-1,-1,-1,-1,28,4,1,0,0,-1,-1,110.0
profit-hourly.pw,pw,-1,-1,-1,-1,-1,10,26,1,0,0,-1,-1,38.4
nicecoin.ru,ru,-1,-1,-1,0,1,2,4,0,1,1,0.00,-1,15.0
capitallcoins.com,com,4,1497,66,25,8,0,1,1,10,0,145.00,0,25.92
realfunds.pw,pw,-1,-1,-1,0,2,21,16,1,8,0,35.00,-1,50.0
crypto-galaxy.pw,pw,-1,-1,-1,-1,-1,12,16,1,0,0,-1,-1,44.0
indrahyip.com,com,2,225,12,0,1,24,21,1,28,0,50.00,0,36.0
coronainvest.io,io,-1,12055,85,15,20,0,1,1,31,3,1,-1,8.0
extracoins.icu,icu,-1,-1,-1,0,2,20,0,1,8,0,35.00,-1,132.0
betlife.club,club,9,1037,14,10,10,25,0,1,30,0,145.00,0,3.0
androix.capital,capital,4,2347,182,17.65,17,0,0,0,9,9,370.00,1,3.0
surfinprofits.com,com,8,524,16,0,8,8,4,1,9,0,106.00,1,4.0
binohour.com,com,-1,271,37,50,4,3,3,1,13,0,35.00,-1,26.4
legitsol.club,club,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1
cashbit.cc,cc,2,1324,84,0,3,7,4,0,28,0,99.00,1,4.55
bitminer.tech,tech,-1,-1,-1,0,1,2,23,0,0,0,19.00,-1,100.0
exfinance.net,net,3,275,8,40,5,0,0,0,28,3,75.00,-1,-1
flairex.ru,ru,-1,-1,-1,-1,-1,1,1,0,1,0,-1,-1,17.28
crypteria.ltd,ltd,3,584,54,0,2,2,0,1,26,1,75.00,1,40.0
superstock.pw,pw,-1,-1,-1,0,2,11,19,1,8,0,35.00,-1,88.0
