kapper;1_profit;1_bets;2_profit;2_bets;3_profit;3_bets;4_profit;4_bets;5_profit;5_bets;6_profit;6_bets;7_profit;7_bets;8_profit;8_bets;9_profit;9_bets;10_profit;10_bets;11_profit;11_bets;12_profit;12_bets;13_profit;13_bets;14_profit;14_bets;15_profit;15_bets;16_profit;16_bets;17_profit;17_bets;18_profit;18_bets;19_profit;19_bets;20_profit;20_bets;21_profit;21_bets;22_profit;22_bets;23_profit;23_bets;24_profit;24_bets;25_profit;25_bets;26_profit;26_bets;27_profit;27_bets;28_profit;28_bets;29_profit;29_bets;30_profit;30_bets
%c0%ed%e0%ed%e0%f1%ee%e2%ee%e5%d1%f7%e0%f1%f2%fc%e5;+29.51;8;+29.63;15;+35.07;23;+52.60;27;+74.83;33;+83.96;37;+107.87;43;+113.80;46;+109.20;50;+125.87;54;+135.93;57;+160.36;63;+177.38;67;+173.25;69;+176.06;71;+178.11;74;+178.11;76;+172.06;81;+196.37;86;+200.43;90;+172.49;91;+147.47;92;+170.58;98;+198.10;103;+198.10;103;+198.10;103;+198.10;103;+198.10;103;+198.10;103;+198.10;103
LOVEforSPORT;0.00;3;0.00;3;0.00;3;0.00;3;0.00;3;0.00;3;0.00;3;+14.62;7;+43.12;9;+102.31;13;+121.35;18;+128.53;19;+151.32;23;+162.06;26;+181.91;29;+154.50;31;+181.39;33;+192.64;36;+208.48;38;+230.78;40;+252.43;43;+212.43;48;+206.91;50;+221.68;53;+221.68;53;+221.68;53;+221.68;53;+221.68;53;+221.68;53;+221.68;53
Russlr13;0.00;1;+17.04;5;+17.04;5;+17.04;5;+15.16;11;+25.02;13;+28.20;17;+21.06;19;+41.30;23;+41.30;23;+41.30;23;+45.88;26;+68.75;31;+90.20;34;+73.78;35;+81.15;36;+87.02;39;+87.02;39;+114.61;42;+123.73;43;+133.23;46;+133.23;46;+151.10;49;+146.08;50;+146.08;50;+146.08;50;+146.08;50;+146.08;50;+146.08;50;+146.08;50
fol;0.00;5;+38.37;13;+31.76;18;+53.61;21;+61.76;24;+71.06;27;+80.24;30;+79.07;35;+99.20;36;+100.73;40;+97.61;41;+94.35;46;+102.59;53;+92.42;55;+102.94;62;+125.36;71;+107.76;74;+94.10;77;+115.04;81;+117.90;86;+137.84;94;+142.17;99;+135.22;107;+135.41;112;+135.41;112;+135.41;112;+135.41;112;+135.41;112;+135.41;112;+135.41;112
Trader_EVG;+3.64;2;+3.64;2;+7.72;5;+7.72;8;+15.32;12;+19.70;14;+14.75;16;+13.14;20;+3.74;24;+44.93;27;+44.93;27;+50.73;33;+55.69;34;+54.04;37;+61.46;39;+67.72;40;+67.24;42;+67.24;43;+88.99;48;+88.99;49;+88.91;51;+80.10;56;+107.32;57;+118.40;61;+118.40;61;+118.40;61;+118.40;61;+118.40;61;+118.40;61;+118.40;61
vitaliy_smolenskiy;+12.75;8;+12.75;8;+12.75;8;+12.75;8;+12.75;8;+12.75;8;+12.75;8;+12.75;8;+12.75;8;+12.75;8;+12.75;8;+12.75;8;+12.75;8;+12.75;8;+12.75;8;+12.75;8;+12.75;8;+12.75;8;+12.75;8;+31.10;11;+48.03;21;+31.82;26;+54.25;29;+62.94;30;+62.94;30;+62.94;30;+62.94;30;+62.94;30;+62.94;30;+62.94;30
spasatel13;+17.42;8;+43.23;10;+43.23;11;+49.10;12;+49.10;12;+56.74;14;+61.06;15;+65.65;17;+73.00;18;+73.00;19;+83.13;20;+83.13;20;+83.13;20;+81.62;23;+59.95;31;+42.85;45;+72.16;57;+39.62;69;+107.38;77;+110.11;84;+127.82;88;+143.48;90;+132.56;97;+148.84;104;+148.84;104;+148.84;104;+148.84;104;+148.84;104;+148.84;104;+148.84;104
Djon Silver;0.00;3;0.00;3;0.00;3;0.00;3;0.00;3;-2.48;7;+9.18;13;+20.66;16;+29.90;21;+38.55;26;+47.31;31;+60.96;34;+81.33;38;+81.33;39;+78.40;42;+76.26;44;+80.61;48;+92.71;49;+113.14;53;+101.80;58;+118.84;64;+124.05;67;+149.19;71;+119.63;80;+119.63;80;+119.63;80;+119.63;80;+119.63;80;+119.63;80;+119.63;80
rammsteinius;0.00;2;-0.75;3;+2.46;5;+5.72;8;+28.24;12;+26.89;15;+3.40;20;+7.66;24;+12.24;27;+4.95;29;+4.95;31;+13.08;34;+25.21;36;+13.03;40;+26.12;42;+18.26;45;+34.55;48;+39.38;51;+43.35;54;+52.93;57;+87.72;61;+87.72;63;+77.51;65;+84.51;68;+84.51;68;+84.51;68;+84.51;68;+84.51;68;+84.51;68;+84.51;68
Colop;+4.30;2;+8.97;3;+16.66;6;+10.83;8;+19.65;10;+32.14;12;+25.53;14;+28.69;15;+30.99;16;+36.87;17;+38.57;19;+47.63;20;+40.27;21;+50.06;23;+43.92;26;+41.38;28;+55.47;29;+47.72;31;+73.24;34;+73.62;35;+79.78;36;+84.53;37;+90.88;38;+90.88;38;+90.88;38;+90.88;38;+90.88;38;+90.88;38;+90.88;38;+90.88;38
ilyamotin;0.00;2;+7.24;5;+15.16;7;+15.16;7;+15.16;7;+15.16;7;+15.16;7;+21.32;9;+29.64;11;+29.64;11;+33.08;13;+38.33;14;+42.47;15;+35.37;16;+44.83;18;+44.88;19;+52.54;21;+57.26;25;+79.87;26;+90.21;28;+82.95;29;+81.09;32;+81.09;32;+92.11;33;+92.11;33;+92.11;33;+92.11;33;+92.11;33;+92.11;33;+92.11;33
Mamiconovich;0.00;3;0.00;3;0.00;3;0.00;3;0.00;3;0.00;3;0.00;3;0.00;3;0.00;3;0.00;3;0.00;3;0.00;3;0.00;3;0.00;3;0.00;3;0.00;3;0.00;3;+10.51;8;+30.97;10;+80.89;15;+77.51;20;+100.57;24;+97.06;25;+84.87;29;+84.87;29;+84.87;29;+84.87;29;+84.87;29;+84.87;29;+84.87;29
%ca%e8%f1%fc%ec%e0;0.00;7;0.00;7;0.00;7;0.00;7;0.00;7;0.00;7;0.00;7;0.00;7;0.00;7;0.00;7;0.00;7;0.00;7;0.00;7;+29.65;15;+27.46;21;+62.84;29;+68.91;34;+64.51;39;+60.66;48;+65.23;53;+65.23;53;+96.13;56;+107.87;65;+99.56;67;+99.56;67;+99.56;67;+99.56;67;+99.56;67;+99.56;67;+99.56;67
Lenyakapper228;0.00;4;0.00;4;0.00;4;0.00;4;0.00;4;0.00;4;0.00;4;0.00;4;0.00;4;0.00;4;0.00;4;0.00;4;0.00;4;0.00;4;+5.49;5;+8.66;6;+21.83;12;+22.77;15;+27.70;21;+41.65;29;+40.77;33;+49.86;34;+52.92;39;+52.92;39;+52.92;39;+52.92;39;+52.92;39;+52.92;39;+52.92;39;+52.92;39
arturame;0.00;5;0.00;5;0.00;5;0.00;5;0.00;5;0.00;5;0.00;5;0.00;5;+26.73;13;+39.12;18;+29.20;26;+37.90;30;+49.31;37;+46.00;39;+31.77;45;+38.30;47;+36.21;49;+47.20;52;+75.92;55;+91.01;56;+99.88;58;+80.40;60;+71.78;64;+71.78;64;+71.78;64;+71.78;64;+71.78;64;+71.78;64;+71.78;64;+71.78;64
