url,zone,days,total invested,deposits number,TopListPrc,monitors number,design,text,licence,forums,reviews,listings,firstLap,plans
futurenaw.com,com,365,2192,26,75,4,6,23,1,11,0,0,1,0.6
hour888.com,com,364,231400,13666,77.78,18,0,0,1,10,0,0,1,35.76
lomba-group.com,com,363,48603,69,16.67,6,0,0,0,13,5,89,0,0.48
worldcorp.club,club,363,500,1,100,1,0,0,0,0,0,0,0,0.38
airbitclub.io,io,361,181828,1089,37.93,29,0,0,1,9,4,206,1,9
hourtrust.com,com,357,66329,2495,83.33,18,1,2,1,19,0,0,1,12
bizzilion.com,com,354,37975,140,65.71,35,2,0,1,17,22,0,1,0.8
primeinvestment.net,net,353,1160,33,87.5,8,0,0,0,12,0,0,0,5
hourlyrich.com,com,352,24370,1446,100,6,0,0,0,5,0,0,1,5.71
gulexfund.com,com,349,50,1,70,10,2,0,0,1,0,0,1,1.5
payinvest.biz,biz,349,173601,9946,70,10,1,1,0,11,0,0,1,21.6
motormoney.org,org,347,3807,12,100,1,14,0,0,1,0,0,1,0.83
itbusc.com,com,346,4798,86,66.67,9,0,0,0,17,9,0,1,0.8
investhour.club,club,343,30,2,100,1,734,302,1,7,0,0,1,4.25
coinroi.com,com,343,22089,1374,100,5,0,1,1,0,0,0,1,3
ledgeneration.global,global,342,6473,92,72.73,33,2,0,1,17,9,0,1,1.45
profitinity.com,com,341,262172,4238,6.9,29,3,0,1,20,8,1,1,2
cryptolia.net,net,341,4984,49,66.67,12,3,3,1,12,1,0,1,25
cryptoct.biz,biz,341,30,3,66.67,3,17,0,1,8,0,0,1,1
tp-fxpro.com,com,341,75150,3346,60,10,0,0,0,5,0,0,1,8
tcompanyonline.com,com,340,3412,69,77.78,9,1,0,0,15,7,0,1,0.8
perfect-group.biz,biz,340,70,1,50,4,753,13,1,4,0,0,1,2
lk.invest-progress.com,invest-progress,339,43,3,100,1,0,0,0,0,0,0,0,0.38
tcomonline.com,com,336,300,1,100,1,1,0,0,0,2,0,1,777
cryptogram.ltd,ltd,333,5107,89,66.67,9,1,0,1,2,4,0,1,4
club-betal.org,org,332,255,9,75,4,5,3,1,1,1,0,1,5
24bitdeposit.com,com,331,253343,7727,72,25,1,0,1,20,1,0,1,19.44
hihourly.com,com,330,25525,1198,100,5,0,0,0,9,0,0,1,40
croaticaa.com,com,328,149,6,100,1,0,0,0,0,0,0,1,97.92
dependablegain.com,com,327,9505,202,11.11,27,0,89,1,22,2,661,1,2.1
eostrade.market,market,327,55940,680,42.86,49,0,0,1,22,25,1,1,1.2
caribbean-dream.biz,biz,323,85105,567,67.92,53,0,0,0,18,26,0,1,1
edsuc.com,com,323,9529,740,100,4,0,0,0,8,0,0,1,20
caremed.life,life,320,16046,161,100,8,1,0,1,5,2,0,1,2.64
xarra.in,in,320,24794,426,72.73,11,1,0,1,6,0,0,1,1
intexfund.com,com,319,3589,130,78.57,14,754,1,1,13,0,0,1,2.2
lucrativeshares.com,com,317,23958,479,13.64,22,1,0,1,19,5,1,1,3
intelligic.biz,biz,317,88530,526,100,15,0,0,1,8,0,0,1,3
bestusd.com,com,317,27503,534,81.25,16,0,0,1,18,0,0,1,35.04
luxury-melanta.com,com,315,7956,360,100,2,0,0,0,3,0,0,1,5
unityinc.ltd,ltd,313,960,5,50,4,0,0,1,5,1,27,1,0.7
cc-bank.info,info,313,13420,571,46.15,13,8,73,1,11,3,40,1,26.4
dollarsvalley.com,com,313,660,7,80,5,2,118,1,13,0,0,1,20
investellect.net,net,312,81030,512,73.33,15,0,0,0,9,0,0,1,1.2
traders-alliance.com,com,311,17288,448,94.12,17,0,0,1,15,0,0,1,1
pammex.co,co,309,332,29,100,1,0,0,0,4,0,0,1,50.06
trustyhour.com,com,308,30885,1860,83.33,12,0,0,0,10,0,0,1,20.64
5inv.biz,biz,308,35237,1177,100,8,0,0,0,12,0,0,1,2.2
right-am.com,com,304,1465,49,100,4,0,0,0,20,2,0,1,1.8
bdctly.co,co,303,1121,96,100,8,0,0,0,5,0,0,1,20
biologic.biz,biz,301,2146,51,85.71,7,1,0,1,6,0,0,1,0.7
supercrypto.biz,biz,297,449998,11577,30.23,43,10,2,1,22,7,789,1,21.12
investcentre.biz,biz,297,316209,3650,71.79,39,4,0,1,20,10,0,1,40
maxprofit-ltd.com,com,295,250,25,100,1,0,0,0,5,0,0,1,1
tai-invest.com,com,294,830,13,0,2,0,0,1,11,1,599,0,1.2
ccc8.co,co,287,17511,309,88.89,36,1,0,1,19,11,0,0,1
incor-partners.com,com,285,2082,15,100,2,0,0,0,0,0,0,1,1.5
edelweiss5.com,com,285,9372,47,100,3,0,0,0,1,0,0,0,0.3
hourly-cash.com,com,283,135,14,100,1,9,6,1,6,0,0,1,1
aptian.net,net,283,87086,1298,100,2,0,0,0,5,0,0,1,0.5
ecrevol.com,com,282,37033,750,72.73,11,0,0,1,6,0,0,1,1
ehasher.com,com,281,18394,1235,100,10,15,0,1,9,0,0,1,3.33
mind10.com,com,281,14245,298,100,1,0,0,0,0,0,0,1,5
nevistrade.biz,biz,280,21237,338,28.57,42,0,0,1,21,15,3,1,2.5
goldrentier.com,com,280,100,2,100,1,3,0,0,4,0,0,0,4
avtomain.com,com,279,3582,154,88.89,9,0,0,1,17,6,0,0,1
hourpaid.com,com,279,15341,951,76.92,13,0,0,0,8,0,0,1,21.6
