kapper;1_profit;1_bets;2_profit;2_bets;3_profit;3_bets;4_profit;4_bets;5_profit;5_bets;6_profit;6_bets;7_profit;7_bets;8_profit;8_bets;9_profit;9_bets;10_profit;10_bets;11_profit;11_bets;12_profit;12_bets;13_profit;13_bets;14_profit;14_bets;15_profit;15_bets;16_profit;16_bets;17_profit;17_bets;18_profit;18_bets;19_profit;19_bets;20_profit;20_bets;21_profit;21_bets;22_profit;22_bets;23_profit;23_bets;24_profit;24_bets;25_profit;25_bets;26_profit;26_bets;27_profit;27_bets;28_profit;28_bets;29_profit;29_bets;30_profit;30_bets
PotPotPot;11.02;12;40.43;18;48.54;29;86.3;37;109.59;43;139.08;49;132.33;59;87.74;73;88.6;85;96.63;95;120.68;96;118.84;103;157.71;117;158.72;129;123.59;131;145.22;141;144;154;162.49;159;176.17;164;176.17;164;169.83;173;195.67;176;226.48;184;199.91;189;183.57;200;183.57;200;183.57;200;198.57;210;198.57;210;198.57;210
Alexbasket;3.08;4;4.82;9;2.98;13;33.03;19;41.5;23;32.27;28;49.62;31;48.03;35;46.02;39;63.8;42;66.42;47;75.61;50;87.94;54;107.68;57;125.63;59;132.09;62;129.86;64;127.65;66;127.65;66;127.65;66;137.07;69;164.55;70;164.55;70;164.55;70;151.36;71;173.1;74;196.17;75;221.5;77;221.5;77;221.5;77
spasatel13;-3.87;3;-20.76;11;-21.06;12;-24.99;14;25.73;21;43.42;29;67.58;34;82.42;37;78.57;39;73.91;46;100.23;50;105.03;61;173.6;71;132.36;84;79.87;91;48.78;102;19.45;112;28.89;122;63.79;132;30;139;-5.51;148;52.39;159;82.08;170;86.5;181;81.3;193;90.04;205;126.17;212;142.81;217;142.81;217;142.81;217
Russlr13;-1.05;3;-1.05;3;3.15;5;22.35;9;22.35;9;17.29;10;20.86;13;42.34;20;51.91;21;58.18;25;58.18;25;55.72;26;55.72;26;62.32;28;75.56;30;112.82;32;102.19;33;102.19;33;102.19;33;92.1;34;108.53;36;134.21;39;134.21;39;142.96;43;142.96;43;119.29;44;119.29;44;125.06;47;125.06;47;125.06;47
Mr.Stavka;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;6.98;10;9.71;19;12.97;23;25.2;26;39.64;29;48.38;35;70.95;41;92.11;44;92.14;49;73.42;51;56.67;58;97.69;66;99.32;72;96.66;76;120.06;78;120.06;78;148.91;83;148.91;83;148.91;83
toporkov_ms;0;8;0;8;0;8;0;8;0;8;0;8;0;8;-3.44;15;25.85;19;24.07;24;24.07;24;24.07;24;34.97;30;43.1;34;54.29;40;62.82;48;96.36;50;80.96;58;82.86;67;97.17;71;76.47;75;102.72;81;92.21;84;89.58;86;98;89;97.51;91;116.17;92;116.17;92;116.17;92;116.17;92
bbmaster;-9.81;5;-12.39;10;5.39;14;13.77;17;21.86;21;44.58;31;44.58;31;44.58;31;44.58;33;53.84;36;73.17;39;79.08;42;53.54;47;93.79;49;101.54;51;119.13;55;134.43;57;97.77;66;102.99;68;91.35;71;107.68;72;107.68;72;124.11;76;127.72;81;138.2;82;126.29;83;114.97;84;114.97;84;114.97;84;114.97;84
Psih42;6.37;6;-1.03;12;-14.06;18;-6.47;22;-1.87;25;-8.68;32;16.14;36;11;42;36.91;52;35.5;60;21.53;71;31.3;75;35.84;83;36.05;85;25.38;86;25.38;86;30.62;90;22.9;92;22.9;92;23.47;98;42.09;104;46.95;112;57.88;118;63.98;124;73.19;127;69.17;139;72.07;143;74.54;147;74.54;147;74.54;147
Rocky97;11.03;9;26.84;18;31.84;22;39.42;31;48.48;40;31.48;47;10.29;55;21.02;63;22.18;71;22.18;71;22.18;71;40.52;80;44.5;85;44.17;88;52.89;96;66.28;97;66.28;97;73.74;102;73.69;111;74.29;116;87.03;120;75.07;125;76.37;126;76.37;126;76.37;126;76.37;126;76.37;126;76.37;126;76.37;126;76.37;126
mikbets;2.74;3;9.55;6;26.59;9;29.94;10;39.9;13;53.9;15;64.68;17;55.13;20;43.99;24;43.99;25;36.22;27;36.22;27;36.22;27;36.22;27;33.95;30;37.56;31;43.12;34;31.01;39;31.01;39;29.19;41;33.27;43;28.1;46;36.99;50;36.66;53;43.82;56;53.46;59;47.42;64;67.35;67;67.35;67;67.35;67
