kapper;1_profit;1_bets;2_profit;2_bets;3_profit;3_bets;4_profit;4_bets;5_profit;5_bets;6_profit;6_bets;7_profit;7_bets;8_profit;8_bets;9_profit;9_bets;10_profit;10_bets;11_profit;11_bets;12_profit;12_bets;13_profit;13_bets;14_profit;14_bets;15_profit;15_bets;16_profit;16_bets;17_profit;17_bets;18_profit;18_bets;19_profit;19_bets;20_profit;20_bets;21_profit;21_bets;22_profit;22_bets;23_profit;23_bets;24_profit;24_bets;25_profit;25_bets;26_profit;26_bets;27_profit;27_bets;28_profit;28_bets;29_profit;29_bets;30_profit;30_bets
%d2%e5%ed%ed%e8%f1+%ca%e0%ef%ef%e5%f0;0;1;0;1;7.46;3;7.46;3;11.33;5;9.04;7;19.72;9;13.74;10;8.05;12;8.05;12;12.53;14;11.49;19;49.07;22;59.48;23;55.12;28;68.86;37;83.5;41;90.63;46;96.69;51;64.84;60;82.26;62;102.15;65;110.24;66;124.56;69;147.73;71;157.71;77;164.92;78;164.92;78;176.98;79;163.13;80
Target_13;6.69;8;34.73;12;34.21;19;27.5;20;38.43;23;50.5;28;49.24;33;53.36;36;52.44;38;57.24;43;82.52;45;97.36;47;108.69;51;123.2;53;121.05;55;150.84;59;148.32;62;99.57;70;84.02;77;103.96;84;109.64;87;101.66;96;118.7;109;100.11;116;125.46;120;162.37;122;156.87;128;139.02;134;135.76;141;175.54;147
Muving Up;0;2;2.78;6;2.78;6;7;7;8.74;10;16.03;13;26.17;18;25.97;23;27.99;27;36.15;30;50.92;32;56.99;34;56.17;36;58.41;37;57.32;40;62.04;44;65.17;46;70.08;48;72.59;51;78.92;52;81.84;53;85.28;55;91.38;57;99.25;58;97.68;60;100.66;62;107.7;63;102.49;64;105.77;65;105.77;65
materazzi43;0;2;-9.72;3;-5.9;4;-2.89;6;5.16;8;9.56;10;7.94;13;13.71;14;18.19;16;12.59;17;21.91;20;21.91;20;21.91;20;26.78;21;32.03;23;30.47;25;42.01;29;63.49;31;61.91;33;74.07;35;72.75;36;72.75;36;72.75;36;64.14;38;77.88;40;77.88;40;92.41;42;108.74;45;117.15;46;117.15;46
Swt37;0;1;0;1;0;6;0;6;0;6;0.87;15;21.13;17;34.22;18;34.22;23;34.22;23;34.22;23;34.22;23;33.85;29;47.17;31;42.75;33;49.79;36;58.57;37;50.65;40;32.15;47;38;56;69;63;74.66;64;74.66;64;85.01;71;76.32;74;71.95;80;73.19;84;105.47;91;89.17;98;109.87;102
Psih42;1.85;10;13.35;18;3.86;26;22.43;33;9.92;39;35.9;44;38.27;50;50.12;56;63.95;62;47.73;71;51.84;78;43.78;88;49.36;90;55.9;94;71.67;99;57.69;106;27.58;113;40.65;120;53.79;128;45.64;134;69.21;138;74.64;143;87.14;151;96.14;157;126.33;162;103.47;171;97.7;182;94.21;189;54.85;199;99.4;206
mivmagul;11.28;7;6.15;11;21.8;12;25.47;15;31.13;17;46.19;18;25.58;21;16.92;23;16.92;23;22.17;28;9.03;30;9.03;30;9.03;30;9.03;30;9.03;31;28.06;35;28.06;35;28.06;35;28.06;36;52.01;38;52.01;38;52.01;38;62.96;39;77.74;40;77.74;42;103.8;43;103.8;43;103.8;43;103.8;44;103.8;44
Zikki;0;2;-9.69;4;-9.69;4;-9.69;4;-9.69;4;-9.69;4;-9.69;4;-9.69;4;-9.69;4;-9.69;4;1.18;9;1.18;9;1.18;9;1.18;9;1.18;9;1.18;9;1.18;9;1.18;9;1.18;9;1.18;9;1.18;9;28.43;19;67.16;28;96.43;38;90.06;46;42.49;55;35.5;63;65.2;67;29.02;72;76.98;75
BandyTime;0;5;9.6;9;9.6;9;9.6;12;28.85;21;26.03;27;31.76;29;48.98;33;40.47;34;40.47;34;40.47;38;40.47;46;38.21;49;33.53;52;35.76;56;35.76;62;51.68;67;71.83;69;76.69;75;101.72;85;105.18;86;102.28;87;110.3;90;92.62;94;95.65;96;85.62;105;82.6;113;0;121;91.74;127;0;133
Trader_EVG;0;4;8.32;5;7.84;12;19.43;18;19.43;18;22.27;21;37.58;22;37.58;23;51.03;27;48.58;29;47.38;35;44.97;37;43.44;43;47.47;47;56.1;49;45.42;51;42.68;54;54.81;59;70.4;66;70.4;66;56.81;68;76.65;70;83.82;74;93.54;79;77.87;81;74.96;82;50.58;83;63.54;85;63.54;85;0;87
orion361;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;-12.21;11;41.56;20;45.44;29;31.36;37;29.69;43;48.42;52;35.41;61;59.49;69;88.34;77;78.58;88;113.19;94;120.44;99;127.65;102;102.91;109
Shabani Nonda;0;4;-0.43;5;-0.43;5;-0.43;5;-0.43;5;2.22;8;-1.63;15;8.94;18;14.8;21;17.27;23;20.35;24;23.99;25;23.99;25;19.32;26;23.17;29;24.2;34;21.34;37;24.27;39;36.1;40;34.86;42;33.61;46;54.7;55;68.33;56;73.32;57;73.32;60;71.34;63;71.34;63;57.04;69;60.81;71;76.81;72
poskrebyshev13;-4.99;3;-6.26;4;-0.23;5;-0.23;5;3.27;6;11.48;8;11.48;8;11.48;8;18.85;10;18.85;10;27.81;12;27.81;12;27.81;12;27.81;12;27.81;12;27.81;12;27.81;12;27.81;12;36.98;14;36.98;14;42.87;15;49.02;16;49.02;16;55.57;17;60.48;18;65.45;19;57.17;21;55.68;22;55.68;22;63.93;23
alex_scream;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;2.54;3;2.54;3;2.54;3;2.54;3;2.54;3;-7.38;4;-7.38;4;-7.38;4;-7.38;4;-11.96;9;-11.96;9;-11.96;9;1.5;10;-3.49;15;-3.49;15;-3.49;15;20.45;23;20.45;23;40.06;31;41.19;37;54.51;44
bbmaster;-5;3;-5;3;-5;3;-5;3;-5;3;-5;3;-1.81;8;-13.03;16;-8.42;20;-10.5;22;-19.22;24;-15.79;27;-24.19;30;-20.67;32;-20.67;32;-20.67;32;-28.41;34;-23.28;35;-20.13;37;-16.91;39;-13.34;42;-13.34;42;10.52;49;10.52;51;27.66;56;46.62;57;65.7;61;49.55;63;0;67;0;67
superBecky;0;2;-4.94;4;-4.94;4;-4.94;4;-4.94;4;-1.97;14;13.56;16;7.4;20;7.4;20;7.4;20;7.4;20;7.4;20;7.4;20;7.4;20;7.4;20;7.4;20;7.4;20;7.4;20;7.4;20;46.35;26;50.43;28;40.05;30;40.05;30;40.05;30;63.33;33;58.72;39;47.73;45;54.72;47;54.72;47;54.72;47
Road to the Top;7.3;3;10.06;9;28.21;15;60.62;17;60.62;18;60.1;22;53.21;26;43.94;29;42.2;35;29.13;40;40.29;43;40.86;46;27.81;52;16.07;54;5.87;57;5.87;57;5.87;57;-3.96;63;45.24;64;57.21;66;81.06;69;63.43;74;63.43;76;62.04;80;62.43;85;56.22;87;56.23;88;56.23;88;56.23;88;0;89
bkvl1961;1.2;3;7.69;6;8;12;7.62;13;11.96;16;12.52;19;11.97;20;12.54;21;14.04;23;15.2;26;16.12;27;21.24;32;21.8;34;29.07;42;29.94;45;29.94;45;26.1;46;26.1;46;22.28;50;31.5;51;35.91;55;40.22;58;45.72;61;45.72;64;42.23;65;46.15;67;48.62;70;52.49;72;50.96;74;53.9;76
