kapper;1_profit;1_bets;2_profit;2_bets;3_profit;3_bets;4_profit;4_bets;5_profit;5_bets;6_profit;6_bets;7_profit;7_bets;8_profit;8_bets;9_profit;9_bets;10_profit;10_bets;11_profit;11_bets;12_profit;12_bets;13_profit;13_bets;14_profit;14_bets;15_profit;15_bets;16_profit;16_bets;17_profit;17_bets;18_profit;18_bets;19_profit;19_bets;20_profit;20_bets;21_profit;21_bets;22_profit;22_bets;23_profit;23_bets;24_profit;24_bets;25_profit;25_bets;26_profit;26_bets;27_profit;27_bets;28_profit;28_bets;29_profit;29_bets;30_profit;30_bets;31_profit;31_bets
Sezam;0;1;-3.51;2;-3.51;2;-3.51;2;-3.51;2;-3.51;2;-3.51;2;-3.51;2;-3.51;2;-3.51;2;-3.51;2;-3.51;2;3.16;4;3.16;4;19.83;6;19.83;6;22.59;9;31.15;13;33.18;15;28.53;16;28.53;16;37.38;19;78.67;26;78.67;27;81.45;29;88.79;30;100.5;33;124.58;36;131.8;38;137.04;42;182.58;47
AglayaKot;14.86;3;19.71;5;19.71;10;25.02;17;5.77;24;15.39;31;-24.22;39;-68.02;46;-65.51;54;-48.83;61;-20.71;69;-10.19;77;31.43;85;69.42;93;10.73;101;96.91;109;150.95;118;147.68;127;149.68;135;84.19;142;95.22;148;105.37;153;70.87;157;54.28;160;54.28;160;54.28;160;54.28;160;28.14;166;33.08;176;111.66;185;155.77;195
Target_13;0;1;0;1;14.44;5;20.61;7;35.96;9;27.96;11;37.62;15;45.87;16;38.58;17;31.67;18;31.67;20;54.97;25;71.46;29;71.46;29;71.46;29;94.02;30;94.02;30;102.25;32;116.96;37;171.46;39;186.16;43;196.83;46;212.74;50;209.95;54;209.95;54;215.69;59;223.82;63;192.28;64;192.28;66;190.88;68;153.35;75
%d1%e5%f0%fb%e9_%ea%e0%f0%e4%e8%ed%e0%eb;0;3;2.87;4;4.78;8;6.37;11;6.37;12;11.68;15;11.68;17;12.88;18;16.84;21;55.03;25;73.9;29;78.73;30;78.73;31;70.23;35;81.41;37;116.33;40;116.33;40;146.37;41;133.47;45;133.47;47;155.34;51;146.48;52;138.35;55;138.35;55;162.41;59;169.26;60;144.47;65;162.82;69;140.5;70;149.09;75;147.16;76
ilia911;-5;2;-5;3;-5;3;-0.31;5;4.14;8;4.14;8;8.81;11;26.05;13;20.1;14;20.25;16;25.82;17;19.53;19;19.53;19;30.29;25;71.47;28;91.68;33;91.68;34;98.9;35;88.97;37;90.39;40;107.37;41;107.37;41;132.65;45;141.12;46;141.12;46;129.07;47;108.91;50;178.45;53;178.45;53;169.76;56;;
omskbet55;0;1;0;1;0;1;0;1;3.28;3;11.22;5;18.72;7;18.72;7;18.72;7;18.72;7;57.72;10;55.96;11;64.36;13;93.57;15;102.28;17;102.28;17;102.28;17;102.28;17;102.28;17;115.34;19;115.34;19;128.81;20;135.21;21;142.26;22;142.26;22;142.26;22;142.26;22;142.26;22;142.26;22;130.15;23;;
amkarovets12345;27.81;10;28.4;20;45.47;30;77;40;73.98;42;73.98;42;73.98;42;73.98;42;73.98;42;73.98;42;73.98;42;73.98;42;73.98;42;73.98;42;67.21;54;94.88;64;94.84;73;115.65;76;116.68;82;140.43;91;137.73;101;137.73;101;137.73;101;137.73;101;145.22;109;110.27;111;110.27;111;110.27;111;110.27;111;110.27;111;;
fristail87;3.63;8;22.25;18;42.58;27;42.15;31;45.35;34;58.82;37;60.12;38;60.12;38;60.12;38;74.74;41;80.21;45;83.62;46;96.05;52;102.94;53;102.94;53;102.94;53;110.61;55;116.35;56;117.97;57;107.89;59;97.99;60;97.99;60;97.99;60;88.09;61;93.12;63;93.12;65;78.69;66;78.69;66;74.19;69;68.3;70;68.3;72
PowerPlay;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;1.7;6;1.7;6;1.7;6;1.62;7;-3.45;9;-3.45;9;4.09;10;8.3;14;28.12;15;28.12;15;26.59;18;36.64;21;50.4;22;59.27;24;49.49;26;49.8;29;49.58;30;56.68;31;65.77;32;65.46;37;77.35;38;0;43
antonio_bayan;0;1;7.2;2;7.2;2;7.2;2;7.2;2;7.2;2;7.2;2;7.2;2;13.63;3;16.69;4;25.27;5;21.51;7;21.51;7;21.51;8;21.51;8;51.31;10;51.31;10;51.31;10;39.44;12;42.07;13;30.91;16;45.7;19;52.6;20;58.78;22;64.18;24;64.18;24;66.39;26;65.27;27;57;29;81.53;30;72.46;31
sportwin;4.13;1;4.13;1;19.77;3;19.77;3;19.77;6;19.77;6;19.77;6;25.57;8;25.57;8;25.57;8;25.57;8;28.4;12;28.4;12;28.4;12;28.34;15;28.34;15;34.28;19;34.28;19;30.6;22;30.6;22;30.6;22;29.41;26;27.51;29;45.96;33;45.96;33;45.96;36;45.96;36;45.96;37;45.96;37;48.99;40;;
SEREHA18;2.9;2;2.9;2;2.9;2;2.9;2;2.9;2;2.9;2;2.9;2;2.9;2;2.9;2;2.9;2;2.9;2;2.9;2;2.9;2;2.9;2;8.89;4;13.19;5;16.3;7;18.38;9;26.28;10;24.38;11;28.8;12;28.8;12;28.8;12;35.24;13;48.44;14;48.44;14;42.5;15;42.5;15;45.49;16;53.78;17;58.09;18
netozhevlad;0;1;0;1;0;1;-5;3;-5;3;-5;3;-5;3;-5;3;-5;3;-5;3;-5;3;-5;3;-5;3;-5;3;-5;3;-9.51;6;0.52;7;24.49;8;24.49;8;24.49;8;24.49;8;24.49;8;44.4;9;54.22;10;54.22;10;62.7;11;61.48;14;45.74;15;45.74;16;56.24;18;;
Mrtitz;0;2;7.48;5;1.08;8;8.26;10;12.83;13;7.2;15;16.15;17;20.22;19;31.85;21;31.85;21;18.05;24;18.05;24;22.47;25;32.82;27;39.66;29;50.81;31;62.73;33;67.25;35;61.11;38;59.73;41;74.85;42;81.84;44;76.88;45;68.05;47;53.27;50;66.14;52;63.81;55;41.95;57;48;58;48;58;48;60
Road to the Top;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;9.29;7;12.72;9;27.05;12;14.72;13;39.77;16;43.38;19;55.39;21;45.89;25;57.09;28;49.45;32;30.49;36;72.76;41;80.01;43;69.79;46;0;48;0;48;0;48
KryshEbash;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;4.24;4;4.24;4;4.24;4;4.24;4;12.33;6;12.09;7;24.34;11;29.89;14;27.77;17;30.77;18;30.46;21;27.68;23;38.84;26;50.46;28;50.46;28;46.99;30;50.82;31;49.24;32;41.78;33
medvedev__v2709;0;1;0;1;0;1;0;1;3.7;2;10.38;5;15.08;6;20.09;8;20.09;10;25.18;11;27.94;12;26.43;16;32.54;18;41.35;19;41.35;19;41.35;19;41.35;19;41.35;19;41.35;19;41.35;19;41.35;19;41.35;19;41.35;19;41.35;19;41.35;19;41.35;19;41.35;19;41.35;19;41.35;19;41.35;19;46.46;20
