kapper;июль 2018_profit;июль 2018_bets;авг 2018_profit;авг 2018_bets;сен 2018_profit;сен 2018_bets;окт 2018_profit;окт 2018_bets;ноя 2018_profit;ноя 2018_bets;дек 2018_profit;дек 2018_bets;янв 2019_profit;янв 2019_bets;фев 2019_profit;фев 2019_bets;март 2019_profit;март 2019_bets;апр 2019_profit;апр 2019_bets;май 2019_profit;май 2019_bets;июнь 2019_profit;июнь 2019_bets;июль 2019_profit;июль 2019_bets;авг 2019_profit;авг 2019_bets;сен 2019_profit;сен 2019_bets;окт 2019_profit;окт 2019_bets;ноя 2019_profit;ноя 2019_bets;дек 2019_profit;дек 2019_bets;янв 2020_profit;янв 2020_bets;фев 2020_profit;фев 2020_bets;март 2020_profit;март 2020_bets;апр 2020_profit;апр 2020_bets;май 2020_profit;май 2020_bets;июнь 2020_profit;июнь 2020_bets;июль 2020_profit;июль 2020_bets
%D5%E0%E9%E1%E5%F0%E8;16;22;82;39;0;0;0;0;10;4;0;0;10;6;4;4;13;37;1;14;4;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18;7;0;0;0;0
montechristo;67;40;25;9;0;0;0;0;0;0;0;0;0;0;0;0;44;9;1;4;0;0;-6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5;1;0;0;0;0
Fopa;-1;13;-33;38;8;87;28;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
%D2%E5%ED%ED%E8%F1+%CA%E0%EF%EF%E5%F0;-12;16;-5;1;-2;17;183;130;107;109;-24;31;15;26;-14;5;8;6;-8;2;2;1;-38;59;20;24;31;64;29;40;3;31;0;0;0;0;1;63;-13;78;13;17;100;183;36;85;178;80;67;75
daradat;17;90;-5;91;33;98;10;91;21;104;-14;99;-9;88;0;69;27;65;39;59;40;69;11;67;4;76;9;44;10;45;31;29;-4;70;15;72;4;73;-34;94;53;36;45;33;-12;65;0;39;3;17
CAPPERMAN;240;186;545;174;42;39;19;102;5;120;1;150;135;83;-39;103;187;84;0;20;63;52;13;6;122;84;0;24;3;25;12;74;-68;102;120;50;-4;21;-10;55;50;38;69;81;31;38;-43;62;-42;31
%C1%E8%ED%FC%E7%FB%EE%ED%E3;349;156;59;105;-9;11;7;15;0;0;0;0;21;13;20;18;9;14;0;5;22;23;30;36;0;53;176;65;92;28;0;4;0;0;27;5;22;25;59;24;1;3;0;0;0;0;1;16;17;9
Tennis+Expert;7;4;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tishka82;1;1;1;1;-36;50;2;1;0;0;0;0;0;0;0;0;0;0;0;0;30;15;2;3;1;8;2;9;-35;31;1;16;-35;41;-19;9;3;11;6;34;9;35;0;0;-17;53;0;74;37;61
%CD%E0%E4%E5%E6%ED%FB%E5+%CC%E0%F2%F7%E8;-18;154;-44;123;111;260;123;288;180;191;24;13;1;12;21;35;7;13;11;19;13;39;3;19;-38;28;-45;35;90;146;2;120;-9;2;7;7;11;150;-34;299;87;72;0;0;0;0;0;0;0;0
